"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.00277873388474941,4.37508592878061,0.940743771334538,9798.93181647315,9796.00046099703,10059.3720332476,0.501019113225951,0.0133176628867163,0.00908586134865507
"2",2,0.46899743630608,-26.7972093001569,0.921084007294962,5069.18349973858,5040.28373293243,5573.21262133319,0.259187212380539,0.0257736305460797,0.0268343849437558
"3",3,0.79572495696328,-13.1905168841556,0.961106531170717,2702.22039226857,2658.71675242092,3386.44355672172,0.138164454047887,0.034987889183651,0.0682707934453815
"4",4,0.834777859056047,-7.85320900148499,0.950813090142574,1483.39162410376,1434.68817694514,2222.55781289317,0.0758457727837082,0.037797411787914,0.129357963863795
"5",5,0.857468238190043,-5.36733274489905,0.949123100463532,838.721340264146,792.21536468404,1539.35914251335,0.0428837989704543,0.0358272549900641,0.208296880837564
"6",6,0.877441184868611,-4.05207030906514,0.954187184905749,488.695126769196,446.396357316878,1113.60505443711,0.0249869683387461,0.0319548948864992,0.303844147702094
"7",7,0.894282449958688,-3.29145220551364,0.961636607275425,293.601035527056,257.276634857826,834.537328284436,0.0150118128401194,0.027660886169407,0.414621613281814
"8",8,0.897602457198421,-2.86615162072285,0.961412938694855,181.93202847997,151.252509906083,650.969897174392,0.00930217959300386,0.0239843457886025,0.538892181818158
"9",9,0.890133787043977,-2.59909641324618,0.954176328327598,116.261036075791,90.4349880456504,521.077735622731,0.00594442356456648,0.0207003833826052,0.674546508478306
"10",10,0.896402293040129,-2.39799834882233,0.958765772122916,76.5667626979611,55.0150665075173,426.031592379087,0.00391485646272426,0.0178699543799263,0.819235022677393
"11",11,0.905575416530137,-2.24291585214012,0.965766369633807,51.9040855655416,33.9269986087081,354.464695130758,0.00265385446188473,0.0154714976469208,0.97058149214488
"12",12,0.918054289960172,-2.11621525502608,0.973685964647693,36.1572462094978,21.2441245080788,299.248820136608,0.00184871900038336,0.0134532405681864,1.12640387966595
"13",13,0.912401583201298,-2.04661043685618,0.96970016631673,25.8322465599017,13.5110004932993,255.75579149955,0.00132080205337466,0.0117571867323287,1.28487960122822
"14",14,0.917447730091828,-1.97565876386796,0.973068435703155,18.8874119786688,8.68935664470142,220.884375264015,0.000965712852984395,0.0103291553604592,1.44462380657254
"15",15,0.921991764382903,-1.91239789366384,0.976109508589657,14.1022040107627,5.63603784794483,192.496521395493,0.000721045301705836,0.0091222293133534,1.60468398400058
"16",16,0.924236083962058,-1.8607598797704,0.977858102546796,10.7300876069868,3.70756261597539,169.080112478091,0.000548629083085531,0.00809726038265093,1.76447666314614
"17",17,0.929005724167258,-1.81024552313719,0.982042987531449,8.30395924004512,2.46503023853206,149.541073637697,0.000424581206669655,0.00722218826238236,1.92369775931119
"18",18,0.930408397128005,-1.77707226764013,0.983551428565375,6.52496664294114,1.65333542978971,133.0715867294,0.000333621364298044,0.00647098687997391,2.08223197158244
"19",19,0.944390705165816,-1.72035317843161,0.991491350424065,5.19772778164139,1.11953100463507,119.064345263264,0.000265759677965098,0.00582259239549167,2.24007616175334
"20",20,0.945489908231474,-1.69237081971143,0.992756504311302,4.19183484735314,0.763909758277299,107.567819533764,0.00021432840000783,0.00528615177673744,2.39728225544282
"21",21,0.94390990130462,-1.66944502501577,0.992767591372113,3.4185223508712,0.527256216870085,98.0100614473306,0.00017478895341401,0.00483695738401808,2.55391909695748
"22",22,0.947141551797153,-1.64251943416798,0.994035990056151,2.81624600798033,0.367571794580482,89.6803094444008,0.000143994580630961,0.0044418113613328,2.71004976202313
"23",23,0.946570397862478,-1.62853218725477,0.993620686256056,2.34159553979901,0.258566639819522,82.3740038472911,0.000119725715298037,0.00409247330174971,2.86572009036877
"24",24,0.946061964180193,-1.61339827940207,0.993459554800636,1.96345976362127,0.182031402366769,75.9276917524556,0.000100391643502468,0.00378217588474581,3.02095461595627
"25",25,0.949753113448873,-1.5925093329385,0.997013964084123,1.65921127855414,0.129359555837196,70.2094849597346,8.48354268613426e-05,0.00350533203736673,3.17575692144639
"26",26,0.947924147566533,-1.57711548497898,0.995537211752648,1.41216794697796,0.0925408131765202,65.1120058510993,7.22041081387646e-05,0.00325730402797334,3.33011232174554
"27",27,0.948193159712215,-1.56010693916109,0.995776722470751,1.20987576188285,0.0665553577828004,60.5471067661261,6.18609143001766e-05,0.00303422124636837,3.48399151477425
"28",28,0.9480748197796,-1.54834917889312,0.996510314192416,1.04292908210017,0.04801205035431,56.441871119337,5.33249351723165e-05,0.00283283604763582,3.63735438225962
"29",29,0.948654560925447,-1.53450938444327,0.996307450635158,0.904148124411161,0.0347116472570672,52.7355526947097,4.62290686374456e-05,0.00265040930145641,3.79015349649623
"30",30,0.950847971147512,-1.52338747518703,0.997980534941291,0.787997628550835,0.02526778434389,49.3772097529256,4.02902969910438e-05,0.00248461913838775,3.94233712818006
