"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.163977005376657,12.4043541573864,0.848223225677803,755.371747025002,756.861951638215,797.081890873719,0.50391710942295,0.027862462724627,0.0210474732848461
"2",2,0.149880422563817,-5.96115308310857,0.973078568067985,388.030089715486,387.730954598196,442.412528374654,0.25885929934322,0.0363275819788854,0.0434176525863159
"3",3,0.592059761935066,-8.686218087503,0.965678477260758,203.176123060697,201.576744454194,255.026148754475,0.135541109446763,0.0346359248580795,0.0705813856827543
"4",4,0.708827639513635,-7.03498005446701,0.956050587870302,108.462518672789,106.307924910519,152.244569914397,0.0723565835041956,0.0292465011665151,0.105029066035041
"5",5,0.785506743411497,-5.51010155234911,0.961041511640712,59.0602686692499,57.195232589642,93.9532417473233,0.0393997789654769,0.0233085784902931,0.148506874411375
"6",6,0.847614996615287,-4.39096650203929,0.966958848008188,32.8258489932126,31.4300078487012,59.9028083321589,0.0218984983276935,0.0180874650783742,0.202435729158582
"7",7,0.885729502537301,-3.58119147995983,0.944295164932274,18.6380450185396,17.5445829208716,39.6614955670981,0.0124336524473246,0.0140437086330084,0.268259833697611
"8",8,0.919450816926368,-3.41281102749369,0.967555761720672,10.8204363719635,9.91724723160887,29.1951524625265,0.00721843653900167,0.0122743485135371,0.347682841958011
"9",9,0.946768147957917,-3.1576624098873,0.969746380699366,6.42916101724609,5.73519749591786,22.368271883732,0.00428896665593468,0.0106473591650014,0.442810939987459
"10",10,0.960585688387269,-2.90684238105143,0.963688719255584,3.91302138281549,3.34665027358132,17.7075476853355,0.00261042120267878,0.00921477222188179,0.556199155021319
"11",11,0.95380329644426,-2.71365410334377,0.945041522458182,2.44145181889559,1.9824106320338,14.3906079153887,0.0016287203595034,0.00798206109134599,0.690770267658957
"12",12,0.954528240464061,-2.53150947425216,0.941536458196698,1.56245412987246,1.19457318604394,11.9419284029729,0.00104233097389757,0.00693351037302599,0.849576252483363
"13",13,0.917529522119722,-2.39578724778825,0.894469840015961,1.02594345766555,0.722322663266605,10.0764261037192,0.00068441858416648,0.00604574120578851,1.03540722254543
"14",14,0.325780276344126,-3.38169304214649,0.13980350637829,0.691192931111446,0.446218966937282,8.61690344543826,0.000461102689200431,0.005294391085597,1.25030950097397
"15",15,0.324806904056605,-3.16426675435659,0.138347983352985,0.477634798112854,0.275773495451671,7.44927507459724,0.00031863562249023,0.00465707018507513,1.49512292688762
"16",16,0.322241061004218,-2.95299054269064,0.134638885660156,0.338324361341042,0.174245522559026,6.49759110369218,0.000225700040921309,0.00411440297694088,1.76915843191833
"17",17,0.92575345205831,-1.84469554148272,0.921885040692516,0.245414683872308,0.111030709938833,5.70969425576858,0.000163718935205008,0.0036501501035601,2.07010163326108
"18",18,0.918053295725979,-1.73641845356883,0.924678704437891,0.182085795064694,0.0719072690792626,5.04873817638278,0.000121471511050496,0.00325093389895762,2.39416343295348
"19",19,0.280997431671669,-2.33130014397404,0.078768469586705,0.137991532152133,0.0461056251808445,4.488022837127,9.20557252515895e-05,0.00290582994691712,2.73643331305405
"20",20,0.280657217613975,-2.24027366927437,0.0796030629653893,0.106650906066701,0.0301929164537144,4.00775829231575,7.11480360685133e-05,0.00260594783677484,3.09134881545797
"21",21,0.274668385651922,-2.11370292472236,0.0729174436699561,0.0839299905732109,0.0199700145963303,3.59298002938913,5.5990654151575e-05,0.00234405271437028,3.45318454833216
"22",22,0.274245628867696,-2.03961082173882,0.0704351259408724,0.0671443931981998,0.0130724388996373,3.23217057294567,4.47927906592394e-05,0.00211424406196085,3.8164809146406
"23",23,0.273495278949126,-1.96188076714409,0.0694143792948561,0.0545201356289959,0.00866518120192405,2.91632558767842,3.63710044222788e-05,0.00191169198605663,4.17636401277258
"24",24,0.273091391579709,-1.90298848490494,0.068916612600278,0.0448646376767003,0.00575366159471424,2.63830677979701,2.9929711592195e-05,0.00173242473762235,4.52874083343152
"25",25,0.275149878320418,-1.85436541135506,0.0727049612531591,0.0373627257252873,0.00388096341976663,2.39238425117063,2.49251005505586e-05,0.00157315927047404,4.87037921579242
"26",26,0.829610902185976,-1.32048587916155,0.883080713316811,0.0314481627574665,0.00262208880452386,2.17390678396731,2.09794281237268e-05,0.00143116680894284,5.19889670686103
"27",27,0.825262832071078,-1.29183020152651,0.865072171493131,0.0267214843826721,0.00177349811857197,1.97906028635626,1.78262070598213e-05,0.00130416637480634,5.51268736341913
"28",28,0.834221728172816,-1.25737862136031,0.87235863945102,0.0228966511451797,0.00120715624358247,1.80468813601849,1.5274617174903e-05,0.00119024041274956,5.81081360658588
"29",29,0.249597472787455,-1.58292511476436,0.0713288267991838,0.0197658972470322,0.000818987160262186,1.64815572676996,1.31860555350448e-05,0.00108776778835396,6.09288474644551
"30",30,0.254329413047893,-1.55963352881583,0.0680346955259782,0.0171762356828086,0.000555763275672416,1.50724707295851,1.14584627637149e-05,0.00099537041423858,6.35893729951475
