GO:0008150,GO:0010976,GO:0010951,GO:0010466,GO:0030155,GO:0006672,GO:0006974,GO:0006629,GO:0006665,GO:0042981,GO:0032526,GO:0001953,GO:0008284,GO:0006919,GO:0010942,GO:0010506,GO:0030330,GO:0046512,GO:0033629,GO:0046514,GO:0090285,GO:0035690,GO:0042407,GO:0006811,GO:0006813,GO:0071805,GO:0042493,GO:0051481,GO:0030322,GO:0071456,GO:0034220,GO:0007420,GO:0071294,GO:0090102,GO:0055085,GO:0016310,GO:0006468,GO:0042593,GO:0009083,GO:1904183,GO:0005996,GO:0006004,GO:0045665,GO:0036065,GO:0060180,GO:0007165,GO:0010468,GO:0007186,GO:0010628,GO:0005975,GO:0051092,GO:0000187,GO:0000122,GO:0006006,GO:0042177,GO:0050731,GO:0051897,GO:0046326,GO:0010033,GO:1902952,GO:0060070,GO:0043552,GO:0014068,GO:0050708,GO:0032880,GO:0046628,GO:0043410,GO:0016042,GO:0010750,GO:0007520,GO:2000252,GO:0043393,GO:0014902,GO:0070059,GO:1990535,GO:1903076,GO:0042060,GO:0032148,GO:1903427,GO:0022898,GO:0050995,GO:0042325,GO:0008286,GO:0045821,GO:0045840,GO:1904659,GO:0002674,GO:0006521,GO:0006953,GO:0006983,GO:0032270,GO:0033861,GO:0045725,GO:0045818,GO:0045861,GO:0045922,GO:0046631,GO:0050709,GO:0050715,GO:0055089,GO:0060266,GO:0060267,GO:1900182,GO:0006744,GO:0006120,GO:0030968,GO:0030433,GO:0018279,GO:1904153,GO:0000462,GO:0000028,GO:0016567,GO:0006511,GO:0034976,GO:0006605,GO:0030970,GO:0006621,GO:0055114,GO:0045454,GO:0046598,GO:0006457,GO:1900026,GO:0045785,GO:0018401,GO:0098761,GO:1902175,GO:0045944,GO:0006915,GO:0008285,GO:0043065,GO:0045892,GO:0000083,GO:1901653,GO:0006355,GO:0019673,GO:0007219,GO:0042351,GO:0000413,GO:0090501,GO:0090502,GO:0031053,GO:0072091,GO:2000312,GO:0045109,GO:0051865,GO:0006888,GO:0006641,GO:0090207,GO:0051604,GO:0009306,GO:0051006,GO:0034382,GO:0090181,GO:0033578,GO:0006508,GO:0006465
GO:0008150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0010976,0,0.996948278477173,0.124392446001126,0.129184582676543,0.144808507264974,0.0217428417853723,0.0273258480171026,0,0.0230217812104445,0.157681196463933,0,0.109952362479384,0.368075343192387,0.290362292245957,0.357272591109031,0.130071299434673,0.115955275660833,0.018433413018785,0.0983578807352822,0.0195508017710195,0.0903894009284455,0.0240125723722455,0.280345479522899,0,0,0.023171180812664,0,0.0679266899995566,0.0669679650460836,0.0211734925293239,0.0269699472704834,0.557050380601876,0.018108931040769,0.271238773464249,0.0278313801435144,0.0302841344613756,0.0295959071910112,0.0840030433147823,0.0188132612818794,0,0,0,0.81021730648372,0,0.159234976415597,0.19175395779243,0.144226431893564,0.15973522026475,0.358888104365366,0,0.261850835431023,0.299892178878159,0.145461989426766,0,0.0944470213530728,0.312189680584803,0.292597661715221,0.273414518294091,0,0.67862043296338,0.134102841059263,0.266494652521079,0.28597841111863,0.138533622650329,0.115516729622378,0.264035820928728,0.347489295819823,0,0.232742263000139,0.357826576207434,0.0804231001848987,0.0824565585592131,0.388623070577842,0.116631930902817,0.494262880567157,0.119193687202387,0,0.25803669993257,0.109572320952218,0.131094930253824,0.083594486566547,0.159498702638833,0.122476715741727,0.258889647824462,0.63971427529305,0.0214309284050533,0.0797563287186961,0.10289327409133,0,0.103705854511614,0.390149663446658,0.0720727258338982,0.258889647824462,0.0903894009284455,0.133241677027005,0.108545512436991,0.0226093197329372,0.123722461666428,0.57652548376017,0.0664127473519171,0.539435167640071,0.20697630334431,0.284950483158232,0.0189718241567009,0.0188680028637229,0.117865894808782,0.021117618227036,0.0189718241567009,0.0991001467088951,0.283964075733039,0.281948109205876,0.0256027030642406,0.0253468087632619,0.0240725277090105,0.023208399431962,0.0194059555630413,0.0637579320176738,0,0.113852143781156,0.213796590442723,0.0223627410896124,0.725995634566371,0.339211661735787,0.0178024477142503,0.018433413018785,0.108325145812838,0.377786167900046,0.0293169409311162,0.14165002399825,0.353106235082844,0.152726171822025,0.101987312342973,0.0236191497317997,0.174486221835066,0.0175498283887921,0.128435485918042,0.016128026169345,0.0190211735373134,0.020421097116127,0.0189208096219321,0.0785946209329253,0.117178666576586,0.0925831983625918,0.292346397938846,0.0205982995457181,0.0219111512234506,0.0216799611193286,0.112534511915414,0,0.0252242281068741,0.0664127473519171,0.150325734116649,0.0843272718286244,0.0170405134672845,0,0.018108931040769
GO:0010951,0,0.124392446001126,0.998695586227817,0.962034791767525,0.134134616127617,0.300156551571149,0.025204662535807,0.238905693509736,0.316643165427982,0.14510764344112,0,0.310932318935722,0.137708998674576,0.838190742237246,0.133964872032176,0.324743425368214,0.109009170270467,0.256924734074113,0.279825803558373,0.271614383181152,0.507462387313669,0.0223590284843432,0.017782897190192,0,0,0.0216277617720377,0,0.0642281636293257,0.0633703399727248,0.0198772874232069,0.024901564809021,0,0.0171523108062044,0,0.025634139624856,0.237298056482367,0.471217026720693,0.0784186362521661,0.26192909629856,0,0.19653173566573,0.150753184775894,0.365615074168561,0.123031744645834,0,0.173474328910148,0.414614955146121,0.146845345657722,0.378166342856677,0.211999977542923,0.516339234842255,0.579394798302305,0.616138421570493,0.190292429051363,0.657441978618741,0.503305551544092,0.111195856976766,0.104323623405041,0,0.0907411893653265,0.124898691064856,0.518481134069334,0.108830784888235,0.128733435438356,0.106807204295009,0.100943606504078,0.556131833269002,0.201358263664715,0.0895686213421726,0.0190176943981252,0.262777288082847,0.536103131604225,0.0205508647732342,0.109606976870699,0.0168771066731158,0.11186643920675,0,0.502918873838497,0.460019442079875,0.551400298901008,0.40858681994579,0.392292938564429,0.114753347915094,0.277379593768861,0.107364039265061,0.020103999769691,0.260714776327216,0.272630279162057,0,0.0981144115438751,0.618954919929692,0.581941939084821,0.27186925603099,0.383294471861608,0.930932379198921,0.455951235944889,0.0211374663985702,0.347393584145938,0.291768852026615,0.0628729527285468,0.365636947546336,0.212280447794681,0.108462916588877,0.153551235084727,0.152757089942971,0.110696075614949,0.549812140734681,0.311401569534273,0.704712002695209,0.179665490046258,0.0178789576412976,0.41228530063566,0.651948963895161,0.0224110019488186,0.0216601838329179,0.507761045900998,0.0604885179412266,0.164774077426011,0.107148438968663,0.0736330943933182,0.0209217938962264,0.103851219561748,0.127667764637423,0.293205217782715,0.0174431408966095,0.102239114488139,0.394893063213654,0.0268891061547772,0.394096077403484,0.132516396590406,0.644525160683501,0.270357199311862,0.0220175384027076,0.445728463695554,0.163362168873016,0.11996829519699,0.150753637865381,0.312166759138819,0.188507818451319,0.175421205272684,0.398154805761385,0.110089697961513,0.397257821345124,0.0185007656432528,0.336505785935642,0.0205260106331442,0.182702892585891,0.290794418473843,0.354730693164062,0.0234059190802766,0.595299813162754,0.0720612766514883,0.280528334054645,0.281281958944426,0.725569928449656,0.475616865467702
GO:0010466,0,0.129184582676543,0.962034791767525,0.99793113908691,0.139723630601403,0.310739933248436,0.0263131066544911,0.250009877846859,0.328443951863809,0.151670863250454,0,0.32085335614499,0.143606399069155,0.827186284388348,0.1395394559912,0.336941096308428,0.112671885007437,0.264639818247804,0.28783551299522,0.280251735566612,0.520837294292479,0.0232270028367321,0.0183276120090481,0,0,0.0224388594261613,0,0.0661837468270488,0.0652732611094028,0.0205603303465001,0.0259829382279235,0,0.0176585292411441,0,0.0267815402610725,0.248817449327469,0.493592736794207,0.0813535492547032,0.269952348005942,0,0.203984775448625,0.155100104099952,0.379409938126658,0.126831314035656,0,0.182938092070774,0.436503202963359,0.153570341782281,0.396291257258297,0.220698347839337,0.534594668774547,0.599747145520266,0.641922955615653,0.197271354039405,0.680524720525781,0.521687780229393,0.115009561624015,0.107673397990541,0,0.0932649456327058,0.129730670201107,0.534719051857223,0.112481321193137,0.133872785014333,0.111363688707747,0.104076577103763,0.578661681139445,0.209189162880741,0.092026691067848,0.0196420105851952,0.27066811612554,0.55580950576941,0.0212818354803095,0.113310656887859,0.0173669791835872,0.115727079227537,0,0.51818230725609,0.474648085743258,0.572269209927904,0.421327210928986,0.410232987861319,0.118819441530606,0.285825092477125,0.110915234469443,0.0208029865283699,0.268480391612271,0.280784793711014,0,0.101071652213977,0.646990713008158,0.597643657387995,0.280146979058228,0.393396753399712,0.966723751232295,0.470318244963151,0.0219115480663194,0.359824322814201,0.302441161827495,0.0647456780477768,0.375806293401396,0.218250167578603,0.112088404553472,0.158293332941479,0.157449514249281,0.11447499259045,0.568656910160424,0.321018533635295,0.725032145363937,0.185337660025647,0.0184296644079875,0.429313122800267,0.678615305068989,0.0232830948910288,0.0224737608733119,0.523791430815325,0.0622199360120897,0.171661430077555,0.110685151100932,0.0757703581733528,0.0216798764691738,0.107170242990513,0.132720708186436,0.301715750950544,0.017966933597051,0.105454298763295,0.41223404991807,0.0281543757086799,0.410171107849454,0.137968630416279,0.672794822002484,0.27837430338663,0.022858703305253,0.467947109022193,0.168038233371025,0.124419519812169,0.154726968566481,0.321831777206091,0.194761762011776,0.18082452053875,0.409845725358629,0.113826628757924,0.407976468662936,0.0190910766954294,0.347763859282805,0.0212551829761191,0.18912683398787,0.300284813362429,0.368235222649073,0.0243588085590106,0.613031333383477,0.0741070000788893,0.289350302954745,0.289105165932916,0.758752144605307,0.489653809410022
GO:0030155,0,0.144808507264974,0.134134616127617,0.139723630601403,0.992470802366146,0.0234083394655661,0.0300092511754018,0,0.0248974255191853,0.173670388289407,0,0.73718932084479,0.16317771412615,0.126187062297747,0.157946900703633,0.140761509128927,0.124375968359792,0.0196166963396672,0.654716345897888,0.0208870883139959,0.0954256042806525,0.0260603154919422,0.0200474462856912,0,0,0.0250722531850589,0,0.0723535530454572,0.0712667932658877,0.0227497464517609,0.0295805676285929,0,0.0192496335610424,0,0.030620054634787,0.0336154112098898,0.0327695597757567,0.0908793631136741,0.0200474462856912,0,0,0,0.141472269971651,0,0,0.215929557882346,0.161720553517505,0.1761653923147,0.144512528991971,0,0.131588164737976,0.130644524963917,0.158963004308698,0,0.101647601063163,0.136428533503174,0.127230686737279,0.118313023514758,0,0.101143406628667,0.145495023993138,0.115117365572643,0.124143798428736,0.150725260856619,0.126474713371871,0.113984538769773,0.153234828691072,0,0.0996887469405046,0.0216307565404661,0.0855856445799847,0.0890720551355251,0.0236364088901747,0.125154799767872,0.0189036914701125,0.128109378215909,0,0.11122652209287,0.117061528795765,0.141961089122807,0.0891863710443236,0.175877760319985,0.131909746457827,0.111618145633178,0.122238870474461,0.0230472077444817,0.0848309240483381,0.109469890334281,0,0.110390130151953,0.173957831752,0.0761914153262998,0.111618145633178,0.0954256042806525,0.144481884252702,0.115890309972738,0.0244157207279739,0.133355907087092,0.136657269077491,0.0706383407682014,0.101143406628667,0.0796866105469082,0.123665353015218,0.0202275951985895,0.0201096176207549,0.126576795985786,0.0226852560733089,0.0202275951985895,0.105186469876466,0.0207218487925889,0.0201696140298668,0.0279438529912691,0.0276392986373807,0.0261309476203107,0.0251158352588815,0.0207218487925889,0.0676425656455919,0,0.121959468472055,0.0824748770841289,0.0241284169706038,0.738509404185625,0.936527163913813,0.0189036914701125,0.0196166963396672,0.115639146392702,0.167904834641607,0.0324279023729738,0.15442163331583,0.155937291185639,0.1676786079838,0.108444991709756,0.0255975777295457,0.194279054402519,0.0186191016755166,0.138847737977964,0.0170266273175353,0.0202837034603206,0.0218834492616003,0.0201696140298668,0.0835178999856865,0.125784576041173,0.0978739854371329,0.0209645031851013,0.0220870657921629,0.0236035371515564,0.0233354726923433,0.120448745101641,0,0.0274936053702542,0.0706383407682014,0.080507952796509,0.0900209610493943,0.018046845008467,0,0.0192496335610424
GO:0006672,0,0.0217428417853723,0.300156551571149,0.310739933248436,0.0234083394655661,0.998992871227059,0.0246230087888685,0.686657193130211,0.944229321275023,0.0252779169933645,0,0.0181854423210959,0.0240180770543915,0.284879422536335,0.0233793658632538,0.181861302017792,0.0191021023837036,0.769013516772152,0.0163940748482582,0.905611590698801,0.223100107479723,0.0219001035851697,0.0174913767343037,0,0,0.0211980764153679,0,0.0173911029417611,0,0.0195137571881501,0.024333658656778,0,0.0168809408228358,0,0.0250327312043604,0.231293325052859,0.38960665379005,0,0.257635212757161,0,0.192585874084489,0.148420557857745,0.02131975798318,0.120999052585843,0,0.0300801161721225,0.224946284876594,0.0255733713766997,0.205665852012489,0.207415790197118,0.295079366493038,0.293480993835172,0.345948650478344,0.186590770169406,0.293346522339121,0.304516133922994,0.0194782888641882,0.0182951142078987,0,0.0159487824345525,0.0218295191444107,0.539272002335789,0.0190714019476202,0.022485622946434,0,0.0177122043243818,0.335794831868486,0.580958080365878,0.0157457317951401,0.018684662641492,0,0,0.0201625200251208,0.0192049728305755,0.0166143082338247,0.0195935983170054,0,0.255373082142833,0.155287340569585,0.02138194121047,0.471145899391846,0.218784593728372,0.0200897247271904,0.256158252980459,0.018818904241057,0.0197322072381399,0,0.251842575592463,0,0.0172237894680178,0.372827805139128,0.106331623163624,0.156345332714,0.136168404205611,0.319648105274218,0.542418603885829,0.0207268569829283,0.0202774187031159,0.159590294457904,0,0.10947063019646,0.110636346898978,0.019008085489996,0.151014309535496,0.150246123215154,0.019392332829532,0.286724235273517,0.259652860934421,0.243174197446451,0.264974750599962,0.0175843052750053,0.341941501214578,0.338839682870697,0.0219499630286535,0.0212292220679487,0.265164805590441,0.0163940748482582,0.161148415003977,0.0187817787672723,0,0.0205194411490627,0.0182136834724978,0.0223033751629708,0.244716633896507,0.0171625656055385,0.017935701201764,0.361920624141595,0.0262281293706283,0.0229448289710553,0.0231320602829332,0.361520296677173,0.249597161800077,0.0215723852505569,0.407303070770319,0.241299682987328,0.020984743210063,0.222940202062756,0.260280324528108,0.277784949347938,0.258818343071184,0.247255143835,0.0192880246464783,0.0154914603186811,0.0181854423210959,0.280212037138716,0.0201385957885842,0.601991863013083,0.560864419145615,0.316689564037785,0.0229034955260037,0,0,0.474978379183529,0.234913924624651,0.376187062172859,0.531396204286547
GO:0006974,0,0.0273258480171026,0.025204662535807,0.0263131066544911,0.0300092511754018,0.0246230087888685,0.986531169422114,0,0.0262760998236812,0.0331526940567221,0.203076056114276,0.0219335385191958,0.0310187686490905,0.0236368824333327,0.0299616497407761,0.0265194860176762,0.716943285935347,0.0204626246179339,0.019379511802924,0.0218488160650794,0.0176603121953445,0.322488960970763,0.0209317701649971,0,0,0.0264709011828136,0.260735455490588,0.0207883329176696,0,0.607893270434895,0.0315471540030119,0,0.234645192720643,0,0.032732219180058,0.0361783200626852,0.0352004488691678,0,0.0209317701649971,0,0,0,0.0266609170568127,0,0,0.490406079296373,0,0.393689464043433,0,0,0.0247012616206833,0.286705119814758,0.0301666526174171,0,0,0.0256590106950559,0.278836876552,0.0220932753739501,0.315241925615579,0.0187603355613775,0.321181346290471,0.0214695321138176,0.27174043293373,0.0285094399182242,0,0.248506860154604,0.33931167865123,0,0.216125648656566,0.022663880210213,0,0,0.024875489216067,0.596155814470268,0.0196880143310482,0.0240151868951813,0.539475690055931,0.0207122112931286,0.0218488160650794,0.0267582312852308,0,0.0336039092883294,0.28962661141677,0.0207883329176696,0.0228616910756817,0.0242237457265621,0.395728604425524,0.0203710545515344,0.431972818951621,0.52278085358285,0.0332114058098244,0,0.0207883329176696,0.0176603121953445,0.02726067230191,0.0216202552680413,0.025740144173666,0.0250506139774053,0.0257043608495805,0,0.366174885684637,0,0.0231414893537029,0.0211282407908518,0.0209995566955655,0.603267772574876,0.606083511863598,0.0211282407908518,0.49712274916968,0.0216680754430123,0.0210649894542067,0.0296924026276653,0.0293487759759177,0.703507241643161,0.0265194860176762,0.551231694755389,0.019379511802924,0,0.0228069244444844,0,0.0254210293093437,0.0219746337185836,0.0282171002111144,0.0196880143310482,0.239312485125333,0.548768948460225,0.0319779121206074,0.0348065268455777,0.029251702664772,0.0295566931800204,0.0319319273056403,0.0201722252727371,0.316436201733195,0.0373968161673503,0.019379511802924,0.30569909362193,0.0176603121953445,0.0211894643571518,0.0229414423529688,0.0210649894542067,0.019947466508283,0.023557747347338,0.212040908979233,0.0219335385191958,0.0231653239149042,0.0248390833567673,0.0245423966546129,0.0225110106903734,0,0.0291845568013295,0,0,0,0.0187603355613775,0,0.0200635436739987
GO:0006629,0,0,0.238905693509736,0.250009877846859,0,0.686657193130211,0,0.976314272713484,0.735375044727627,0,0,0,0,0.223290310251913,0,0.192466982896318,0,0.565569167865549,0,0.605674637067555,0.164715587907821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26816863079197,0.341003166147826,0,0.196592904476555,0,0.255120776846138,0.182988161588563,0,0.151572315132462,0,0,0.337711481301482,0,0.296045631099894,0.281812630321172,0.233880229194654,0.232023272626702,0.289031554555386,0.244705479988551,0.231885584008565,0.243450840798527,0,0,0,0,0,0.594677506119694,0,0,0,0,0.277282342518482,0.775660295999215,0,0,0,0,0,0,0,0,0,0.194439561333665,0.156983494130312,0,0.591570933538868,0.24767758000255,0,0.195185902162922,0,0,0,0.191097640631536,0,0,0.320330001837097,0.12924032096108,0.195185902162922,0.164715587907821,0.259544689972949,0.599045504014916,0,0,0.209132963177021,0,0.133907285057522,0.135655680895574,0,0.170219529563665,0.15060771254828,0,0.225150654550736,0.198521521394008,0.182988161588563,0.203829057757036,0,0.284193875584854,0.280694883802742,0,0,0.203829057757036,0,0.220339878097191,0,0,0,0,0,0.184421285588298,0,0,0.307600077300154,0,0,0,0.307126832759268,0.189152182438859,0,0.36404277887552,0.181412205606191,0,0.164715587907821,0.199122842142962,0.216397241580193,0.197900449745365,0.186955001957024,0,0,0,0.218614065804705,0,0.684290362153038,0.624917484264313,0.256358620468096,0,0,0,0.597625549477694,0.175384785355614,0.324407968270531,0.188089477671249
GO:0006665,0,0.0230217812104445,0.316643165427982,0.328443951863809,0.0248974255191853,0.944229321275023,0.0262760998236812,0.735375044727627,0.997961474290915,0.0270232298418777,0,0.0190715887452386,0.0255883504442754,0.299689098138347,0.0248646510270477,0.19229140763018,0.0200822424004134,0.804281874670412,0.017110798847237,0.851680667010342,0.232081718266361,0.0231981628118636,0.0183096508313271,0,0,0.0224119422722109,0,0.018199805116012,0,0.020537729152877,0.0259468536335103,0,0.0176418549399879,0,0.026743205048993,0.248431233845175,0.417846104395495,0,0.269687792967548,0,0.203737341400958,0.154957012416192,0.0225480032718337,0.126705999210939,0,0.0325844027239602,0.243069915215605,0.0273611647096727,0.220711924421898,0.220408734238918,0.207321662959588,0.309223199083244,0.245345699416431,0.197039929536669,0.309073918357259,0.321498689103423,0.0204984445563141,0.0191922447576537,0,0.0166262956646927,0.0231189781863459,0.565065120444568,0.0200483134203477,0.0238561915684872,0,0.0185517660262924,0.356564300587216,0.61545500423461,0.0164057464715588,0.0196213822393282,0,0,0.0212576211417863,0.0201959717934061,0.0173508506857015,0.0206261883458408,0,0.267210077338178,0.162828807408258,0.0226175694071887,0.493582358103185,0.234057731135067,0.0211767193994584,0.268069845754727,0.0197694744607804,0.0207798490012576,0,0.26334717044623,0,0.0180166513329515,0.398606834140746,0.110713789121846,0.163615533512834,0.141650300300724,0.33841238523657,0.568520885643904,0.0218858804257334,0.0213853794565691,0.168503860623021,0,0.114121004014916,0.115388438305781,0.0199783560935029,0.158136932281103,0.157294775788254,0.0204032710170883,0.301731392066954,0.271899444578992,0.253883610713305,0.18515046364407,0.0184115027484674,0.363502703797527,0.359999384804657,0.0232541154904162,0.0224467599706296,0.277949652656531,0.017110798847237,0.171431950905367,0.0197285078236979,0,0.0216547484178033,0.0191026515933686,0.0236511508415,0.255565366627864,0.017949672064693,0.0187970993721072,0.257432325438502,0.0281120127086824,0.024373727970044,0.0245851126468696,0.25712850805359,0.173918768502119,0.0228307700842969,0.292168619253369,0.167884337397139,0.0221736146733591,0.154596479361059,0.272587571345964,0.194555055011502,0.180646325575336,0.172213670826228,0.0202878363900595,0.0161298983301764,0.0190715887452386,0.294528219433588,0.021231029215304,0.634313398064197,0.588817931834994,0.335098099453265,0.0243270913405562,0,0,0.497790172387411,0.244893200003852,0.402449094416372,0.259851646896431
GO:0042981,0,0.157681196463933,0.14510764344112,0.151670863250454,0.173670388289407,0.0252779169933645,0.0331526940567221,0,0.0270232298418777,0.981993022903079,0,0.125830320446655,0.179709810635814,0.692942864438791,0.849696252089234,0.1528945973132,0.133754623773499,0.0209128951494904,0.110873154265047,0.022362924263083,0.100851118925691,0.0283986635795665,0.0214031618534676,0,0,0.0272293100311817,0,0.0772122082069972,0.0759758396318839,0.0245116437328282,0.0326302800882708,0,0.020496236599999,0,0.0338997545105411,0.0376100130864707,0.0365543446390569,0.0986787244752872,0.0214031618534676,0,0,0,0.153733533652239,0,0,0.245858598643507,0.183173357104482,0.195590510801078,0.161404384671111,0,0.142132141228658,0.141031849887455,0.174611167972806,0,0.109724753511846,0.147795986066062,0.137061822022553,0.12676852333786,0,0.107259418437646,0.15849553661851,0.12310684226845,0.133486157642324,0.164722214234222,0.139226858936558,0.121812200224681,0.167724162556054,0,0.105624938491369,0.0232175471995645,0.0912408277322163,0.0965515256432172,0.0255440792697995,0.613705032934078,0.0201044933007815,0.138082097613372,0,0.118667599367591,0.125332840232511,0.154310928443902,0.095344528679469,0.195236013133099,0.1425073969688,0.119113480092585,0.131286273790394,0.0248573141553778,0.0903835732498201,0.116670177930861,0,0.117716033157637,0.192873024783907,0.080640989183729,0.119113480092585,0.100851118925691,0.15729400001145,0.123991211005599,0.026456690916919,0.144196749427838,0.14806446440042,0.0752620075602438,0.107259418437646,0.0845668608460104,0.13293315289141,0.021608624745456,0.0214740410911154,0.136303275853,0.0244367938130974,0.021608624745456,0.111817239623343,0.0221736146733591,0.0215424689756142,0.0306499792921293,0.0302839680117195,0.0284825601854385,0.0272807214262966,0.0221736146733591,0.0718706318128323,0,0.130964036322007,0.0877138529499485,0.0261196782120215,0.126071659290711,0.162981446642257,0.0201044933007815,0.0209128951494904,0.630980605124103,0.18546017111819,0.922859565145334,0.169147060289678,0.872059486177641,0.185184203888994,0.115506738155181,0.0278500329887545,0.218175126366989,0.0197829072335601,0.150639331178406,0.0179946926136713,0.0216726682099801,0.0235089235689816,0.0215424689756142,0.0888945429677335,0.135385067282785,0.103589820023725,0.0224516888066028,0.0237440747841945,0.0255056916266768,0.0251929670817977,0.12922358855558,0,0.0301091476520438,0.0752620075602438,0.0854924709886746,0.0962989682831497,0.0191381145322614,0,0.020496236599999
