GO:0005575,GO:0005634,GO:0005730,GO:0005615,GO:0031410,GO:0005576,GO:0043025,GO:0043204,GO:0034774,GO:0060205,GO:0016020,GO:0016021,GO:0000139,GO:0005794,GO:0030173,GO:0005739,GO:0005741,GO:0005743,GO:0001401,GO:0061617,GO:0005886,GO:0005887,GO:0005759,GO:0005947,GO:0005829,GO:0005737,GO:0030141,GO:0062023,GO:0005732,GO:0005783,GO:0005789,GO:0030176,GO:0048500,GO:0005785,GO:0000839,GO:0032040,GO:0034388,GO:0005788,GO:0009897,GO:0032991,GO:0030027,GO:0005856,GO:0005793,GO:0042470,GO:0034663,GO:0016222,GO:0005654,GO:0016604,GO:0005925,GO:0016607,GO:0014069,GO:0070877,GO:0030054,GO:0042995,GO:0030424,GO:0031463,GO:0005912,GO:0030057,GO:0005787,GO:0043231,GO:0031090
GO:0005575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005634,0,0.847884137521789,0.491849278046329,0.00300024335664303,0.320444049015063,0.00342858294946816,0.00248281904794004,0.0019607533650229,0.143310738642029,0.146505236392908,0.00516307758684223,0.00376613108493804,0.260983096219877,0.350347405380554,0.216044836418006,0.399997079122597,0.252205676206669,0.295169968187093,0.169898879384273,0.184783367063747,0.00402479821504286,0.00292003282533567,0.27119789647261,0.172550983569214,0.126002245178898,0.203414152800854,0.230987490641896,0.00234792325625236,0,0.351396694000325,0.243549416410821,0.202582635335426,0.061956694919664,0.169898879384273,0.176908340673261,0,0.273404013980721,0.223211650737105,0.00240057613700796,0,0.00203261247006354,0.255107689870609,0.22518535899479,0.17485822823684,0.189442963850366,0.162884526285188,0.609507243985294,0.472562787846099,0.00203261247006354,0.420356745467651,0.156014660544701,0.258087681568361,0.00360826799330277,0.00352687664863078,0.00260308151773139,0.0665294059081653,0.00183886124044254,0.00169717490901298,0.143310738642029,0.622003206554729,0.315350040617895
GO:0005730,0,0.491849278046329,0.990041909283092,0.00201001539221062,0.209591451881466,0.00219361736080032,0.00176376079606478,0.00148321655487344,0.364966218874807,0.371517429539477,0.00279419161154913,0.00232705982175711,0.192886473588439,0.237696776928527,0.167184946695128,0.259554918222828,0.188049501249149,0.210943341103044,0.138148548177185,0.147831166890259,0.00242329077265894,0.00197369368022042,0.512077050239245,0.361060950232149,0.0822612677531452,0.109455875346734,0.16723090017345,0.00169459750004758,0,0.238179308472018,0.173717867113422,0.151819374654301,0.049115120858466,0.138148548177185,0.142747519634128,0,0.633545688643881,0.442482852939296,0.00172185499187638,0,0.00152397201547794,0.547066514580365,0.172606726450264,0.135695592654152,0.150798525823375,0.133474825204008,0.681946929180698,0.572772480563296,0.00152397201547794,0.526206987437678,0.112706521863095,0.211488524848153,0.00226580827060752,0.00223344241559781,0.00182361150370388,0.0519454338210456,0.00141239515570644,0.00132728658106068,0.115896859283717,0.337787662169717,0.207400175088067
GO:0005615,0,0.00300024335664303,0.00201001539221062,0.974029225234581,0.00239849746036274,0.848984178614261,0.00196373110631692,0.00162212641583492,0.00124896939550197,0.00127303642875346,0.00333167143456764,0.00268823567149251,0.00174954694015035,0.00220780089566156,0.00149628606090958,0.00243942040149541,0.00170136431440087,0.00193159422945388,0.00121813683344591,0.00130997142488497,0.00281748573537272,0.00222752562354129,0.00180486532398078,0.00123465231642226,0.00240805403077224,0.00335849079981041,0.00186163356050808,0.634906036194234,0,0.00221285540762378,0.00194194376712258,0.00167349424799278,0.00136148750210305,0.00121813683344591,0.00126164252878735,0,0.00123465231642226,0.00153779546601023,0.00191192385723874,0,0.00167099898062726,0.00249425718722886,0.00154915043673557,0.00148057017464494,0.00133829769776196,0.00117413221490422,0.00236954056624927,0.00194754086855506,0.00167099898062726,0.00177300118503051,0.00187338799381779,0.00117413221490422,0.00260682786007275,0.00256407818825807,0.00203820911214778,0,0.00153779546601023,0.00143744007251356,0.00124896939550197,0.00331543292741479,0.00236998993338215
GO:0031410,0,0.320444049015063,0.209591451881466,0.00239849746036274,0.962049846085376,0.00266462678223283,0.00205596599871719,0.00168455256739639,0.487425637074293,0.497099434568311,0.00360614645331408,0.00286413238512647,0.20590138055635,0.262697219709915,0.175040594317504,0.291883194914025,0.200001527649607,0.228315314496658,0.14157032366417,0.152572482370794,0.00301131302666577,0.00234695894170712,0.212691695898773,0.143545442490461,0.287911638171422,0.410991082210268,0.737145853401936,0.00196259416939008,0,0.263330657915966,0.202163861403126,0.173106313457689,0.158765179538592,0.14157032366417,0.146776557976393,0,0.126394943783249,0.180073311206555,0.00199924804824786,0,0.00173732033488101,0.198683901464978,0.181451743415184,0.580974904004566,0.155975695052125,0.136315202115405,0.249225951272992,0.202773673190633,0.00173732033488101,0.183833830873577,0.130481357086154,0.120028556875457,0.00277190542746748,0.00272362021741334,0.00213775034656434,0.0582071200453736,0.00159378750616194,0.00148624660120829,0.127903673503246,0.356866939828078,0.249275920775004
GO:0005576,0,0.00342858294946816,0.00219361736080032,0.848984178614261,0.00266462678223283,0.948151170122019,0.00213860705804555,0.00173963218985699,0.00131748917020689,0.00134429766485432,0.00386833673101622,0.00302708711039187,0.00188702053898759,0.00243132252499215,0.00159570870776109,0.00271523068897039,0.00183108939282434,0.00210054702558923,0.00128322719848483,0.00138555044189731,0.00319197393561029,0.00245526501729162,0.00195153422904723,0.0013015681128899,0.00267642695477237,0.00390453903469603,0.00201807374035948,0.688780135868319,0,0.00243745372154245,0.00211279199066756,0.00179884751283729,0.00144331351960649,0.00128322719848483,0.00133159882350235,0,0.0013015681128899,0.00164300485503761,0.00207730580516092,0,0.00179596475052093,0.00278334170637247,0.00165597324349942,0.00157784737517879,0.00141727916729748,0.00123448829938248,0.00262893527815769,0.00211941893770869,0.00179596475052093,0.00191433428297832,0.00203189405258264,0.00123448829938248,0.00292425550390966,0.00287056810808457,0.00222724002761801,0,0.00164300485503761,0.00152895714884347,0.00131748917020689,0.00384646266681526,0.00262948842675198
GO:0043025,0,0.00248281904794004,0.00176376079606478,0.00196373110631692,0.00205596599871719,0.00213860705804555,0.991803582687386,0.836743895168023,0.00114926437693053,0.00116961095135294,0.00270554480801805,0.00226524745624731,0.00155996937221101,0.00191423802793691,0.00135541194146213,0.00208596199169914,0.00152154831040225,0.00170308789756871,0.0011231064919844,0.00120071498851778,0.00235633399537114,0.00192904845160811,0.00160379872096567,0.00113713081460283,0.00206298391760159,0.00272320425562697,0.00164846671483813,0.00166158031345059,0,0.00191803658901173,0.00171112849068228,0.00149921940665436,0.00124385466413347,0.0011231064919844,0.00115998620042964,0,0.00113713081460283,0.00138938440413519,0.00168777778390117,0,0.00149721647343309,0.0021259287761322,0.00139864682117543,0.00134250325932663,0.00122447043051037,0.0010855941972425,0.00203465250028118,0.00171547265626,0.00149721647343309,0.00157858904247814,0.00165767671811036,0.0010855941972425,0.00220716606020271,0.00217644251154709,0.00178543221315097,0,0.00138938440413519,0.00130694548543987,0.00114926437693053,0.00269482642634721,0.00203498381586288
GO:0043204,0,0.0019607533650229,0.00148321655487344,0.00162212641583492,0.00168455256739639,0.00173963218985699,0.836743895168023,0.998618477172421,0.00102316246951445,0.0010392577219124,0.0020970893680609,0.00182251294055908,0.00133640117295538,0.00158820623941582,0.00118339952148231,0.00170463689872526,0.00130810376927545,0.0014400738545201,0.00100237805037514,0.0010637424424721,0.00188101408595756,0.00159838787339833,0.00136843887322704,0.00101353435982612,0.00168926101673142,0.00210768347850853,0.00140082627313747,0.00141028453618943,0,0.00159082017134268,0.00144581854928648,0.00129156606269515,0.00109746291449089,0.00100237805037514,0.00103165180367606,0,0.00101353435982612,0.00120921427348604,0.00142911217324089,0,0.00129007927245955,0.00173123384185726,0.00121622415599302,0.00117354745585502,0.00108234519298611,0.000972389398373884,0.00167021728971226,0.0014489188069479,0.00129007927245955,0.00135004296003915,0.0014074714053018,0.000972389398373884,0.00178472712241121,0.00176458507599518,0.00149851224652833,0,0.00120921427348604,0.00114628561115653,0.00102316246951445,0.00209064410369291,0.00167044054134916
GO:0034774,0,0.143310738642029,0.364966218874807,0.00124896939550197,0.487425637074293,0.00131748917020689,0.00114926437693053,0.00102316246951445,0.999935096243,0.98671413379076,0.00151277516026567,0.00136448299594914,0.297553685439573,0.340930156493719,0.269583854564631,0.146576936739195,0.119100228667806,0.128596930434554,0.0956027059857162,0.100496558094226,0.00139701193855587,0.00123484880819755,0.342409022361318,0.267575126366357,0.145568553386594,0.171542166238347,0.702946592278473,0.00111949220926531,0,0.341364119112582,0.31679251507565,0.289489406786165,0.103146610865919,0.23477319246619,0.240534789359645,0,0.267575126366357,0.309825119831474,0.0011313234590523,0,0.00104239250704139,0.0986042877726991,0.112265766477085,0.365845730764689,0.250389624624757,0.22881625144531,0.400155198968422,0.358304569371926,0.00104239250704139,0.338722663680582,0.0745172526340753,0.0820443802189422,0.00134319216249447,0.0013317515173242,0.0011743789313877,0.0369795049420316,0.000988954702898229,0.000946460350104164,0.238869319020367,0.150165044303013,0.127084285831811
GO:0060205,0,0.146505236392908,0.371517429539477,0.00127303642875346,0.497099434568311,0.00134429766485432,0.00116961095135294,0.0010392577219124,0.98671413379076,0.999916552312428,0.00154822701456526,0.00139325896136874,0.123167109643385,0.141462315383369,0.111416675954318,0.14951293232234,0.121031403813281,0.130851271101266,0.0968430716575701,0.101868072181266,0.00142719145551659,0.00125836959983827,0.348169056722349,0.271079677517367,0.1484638922906,0.175577226945494,0.429404519948589,0.00113878941500941,0,0.141645796682891,0.115586792402859,0.105464964389055,0.104591931299074,0.0968430716575701,0.0992513106993863,0,0.271079677517367,0.314533518884308,0.0011510342923629,0,0.00105910339670451,0.100603211374275,0.113980068176411,0.371268630847166,0.10337400422854,0.0943547943606056,0.408044262306366,0.364616738876174,0.00105910339670451,0.344358320519665,0.0757996712879677,0.0830814877991079,0.00137106794427304,0.0013591496141628,0.00119563270086459,0.0375192398837092,0.00100398380508644,0.000960216648455065,0.086779877665653,0.153676167553096,0.129590014818279
