GO:0046872,GO:0003674,GO:0004867,GO:0030414,GO:0016811,GO:0016787,GO:0017040,GO:0102121,GO:0071633,GO:0005252,GO:0005267,GO:0022841,GO:0008022,GO:0044548,GO:0005216,GO:0022857,GO:0004672,GO:0016740,GO:0000166,GO:0005524,GO:0004674,GO:0016301,GO:0016772,GO:0047323,GO:0048029,GO:0016853,GO:0042806,GO:0016857,GO:0036373,GO:0005179,GO:0042802,GO:0044877,GO:0005158,GO:0002020,GO:0005159,GO:0042803,GO:0008289,GO:0051787,GO:1990381,GO:0005515,GO:0030246,GO:0003756,GO:0003779,GO:0046982,GO:0005178,GO:0019899,GO:0015037,GO:0004656,GO:0003677,GO:0000976,GO:0000981,GO:0003700,GO:1990837,GO:0003676,GO:0003723,GO:0008446,GO:0016829,GO:0070401,GO:0003755,GO:0020037,GO:0003725,GO:0070878,GO:0004525,GO:0008233,GO:0004252,GO:0008236
GO:0046872,0.944034961842019,0,0,0,0,0,0,0,0,0,0,0,0.0706123833268702,0.054067336426893,0,0,0,0,0.104329631584818,0.593119034123598,0,0,0,0,0.06440581613836,0,0.0491166510805362,0,0,0.0693313818324439,0.0950098115507196,0.0907347823812125,0.0580016517939395,0.0675903895900582,0.0543528798435024,0.0845657386402338,0.0894207784032893,0.0568229231211089,0.0548846746882194,0.147659708144451,0.0741906982091683,0,0.0802254863493643,0.079471630931175,0.0677258415080342,0.102430873444603,0,0,0.107762530263962,0.0887911815361241,0,0,0.0893537744518214,0.11761012711798,0.0946116062413923,0,0,0.316125426492932,0,0.0682913185555256,0.0653310855352396,0.0519514168474214,0,0,0,0
GO:0003674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0004867,0,0,0.998325832191855,0.910892812803538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527511811969151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0030414,0,0,0.910892812803538,0.995444959015502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573393781409194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016811,0,0,0,0,0.997912725849586,0.499974129470621,0.843379599833701,0,0.770269085453323,0,0,0,0,0,0,0,0.210549334461576,0.245864118202572,0,0,0.196988290081877,0.219244531138348,0.222456995966586,0.118480610034289,0,0.179391193710838,0,0.144997328337992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141759446252647,0,0,0,0,0.142782060432342,0.135380599451703,0,0,0,0,0,0,0,0.118480610034289,0.184690732219768,0,0.15400895160923,0,0,0,0.276763183482466,0.431643830578605,0.350631064581532,0.368610490707492
GO:0016787,0,0,0,0,0.499974129470621,0.905115995912421,0.395159203154528,0,0.350164989615407,0,0,0,0,0,0,0,0.342554430811305,0.447017142028881,0,0,0.308051801223798,0.366182250414687,0.375232515463221,0.151286776775483,0,0.267081673029584,0,0.197377165533303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19142540428285,0,0,0,0,0.193294820245867,0.179974388563513,0,0,0,0,0,0,0,0.151286776775483,0.279000711693173,0,0.214459159780746,0,0,0,0.367927789697208,0.703505915338262,0.511057270673418,0.55017059123934
GO:0017040,0,0,0,0,0.843379599833701,0.395159203154528,0.999782575609332,0,0.923852789263074,0,0,0,0,0,0,0,0.171407653939119,0.194104963334809,0,0,0.162311092332615,0.177126528754696,0.179217400186156,0.104989476635434,0,0.150173281787679,0,0.125293762265718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122868717302595,0,0,0,0,0.123636208068101,0.11804776510856,0,0,0,0,0,0,0,0.104989476635434,0.15386932072333,0,0.131966275974393,0,0,0,0.241329078219149,0.351216455754029,0.295637335567261,0.308317205075984
GO:0102121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0071633,0,0,0,0,0.770269085453323,0.350164989615407,0.923852789263074,0,0.999945643902333,0,0,0,0,0,0,0,0.153874480198657,0.171921445310299,0,0,0.14650369054151,0.158467557238775,0.160139036990875,0.0981400270876639,0,0.13654240059608,0,0.115660400521435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113590845183522,0,0,0,0,0.114246495652328,0.109458225267299,0,0,0,0,0,0,0,0.0981400270876639,0.139591117849791,0,0.121323123794491,0,0,0,0.223769188539648,0.315216970659473,0.269709439992489,0.280223197995196
GO:0005252,0,0,0,0,0,0,0,0,0,0.999989128780467,0.642399600076403,0.545675428494045,0,0,0.511531470263781,0.416706364194424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
