Gene stable ID	GO term accession	GO term name	GO term definition	GO term evidence code	GO domain	Gene name
ENSMUSG00000060988	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0016021	integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0016740	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0016757	transferase activity, transferring glycosyl groups	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0000139	Golgi membrane	The lipid bilayer surrounding any of the compartments of the Golgi apparatus.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0046872	metal ion binding	Interacting selectively and non-covalently with any metal ion.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0018243	protein O-linked glycosylation via threonine	The glycosylation of protein via the O3 atom of peptidyl-threonine, forming O3-glycosyl-L-threonine; the most common forms are N-acetylgalactosaminyl, mannosyl, and galactosyl threonine.	ISO	biological_process	Galnt13
ENSMUSG00000060988	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis.	IDA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis.	ISO	molecular_function	Galnt13
ENSMUSG00000060988	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.	IBA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0030246	carbohydrate binding	Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0006486	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	IEA	biological_process	Galnt13
ENSMUSG00000060988	GO:0006493	protein O-linked glycosylation	A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan.	IDA	biological_process	Galnt13
ENSMUSG00000060988	GO:0018242	protein O-linked glycosylation via serine	The glycosylation of protein via the O3 atom of peptidyl-serine, forming O3-glycosyl-L-serine; the most common forms are N-acetylgalactosaminyl, mannosyl, galactosyl, and xylosyl serine.	ISO	biological_process	Galnt13
ENSMUSG00000060988	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0016021	integral component of membrane	The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0016740	transferase activity	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0016757	transferase activity, transferring glycosyl groups	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0000139	Golgi membrane	The lipid bilayer surrounding any of the compartments of the Golgi apparatus.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.	IEA	cellular_component	Galnt13
ENSMUSG00000060988	GO:0046872	metal ion binding	Interacting selectively and non-covalently with any metal ion.	IEA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0018243	protein O-linked glycosylation via threonine	The glycosylation of protein via the O3 atom of peptidyl-threonine, forming O3-glycosyl-L-threonine; the most common forms are N-acetylgalactosaminyl, mannosyl, and galactosyl threonine.	ISO	biological_process	Galnt13
ENSMUSG00000060988	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis.	IDA	molecular_function	Galnt13
ENSMUSG00000060988	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis.	ISO	molecular_function	Galnt13
ENSMUSG00000060988	GO:0005794	Golgi apparatus	A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.	IBA	cellular_component	Galnt13
