Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
sexM,0,1,ET1,0,1,liverturquoise_B,1,6,0.101708651440681,0.00982536349919994,10.3516426083333,0,0
liveryellow_B,1,7,ET1,0,2,sexM,0,1,0.110554344729356,0.0173016974512445,6.3897975930335,0,0
adiposeyellow_B,2,3,adiposeblue_B,2,3,NA,0,NA,-2.15820785987713,0.447850686071012,4.81903439472441,0,0
liveryellow_B,1,7,liverbrown_B,1,3,NA,0,NA,-1.79903508743951,0.373603590692183,4.81535812893661,0,0
liverblack_B,1,1,adiposebrown_B,2,4,NA,0,NA,-1.46296990469775,0.308411116915021,4.74357059282287,0,0
adiposeyellow_B,2,3,ET1,0,3,adiposeblack_B,2,2,0.165864840071518,0.0350508496189148,4.73212038723338,0,0
liverturquoise_B,1,6,ET1,0,4,adiposeturquoise_B,2,7,-0.137776511669616,0.0292180987032302,4.71545096308351,0,0
liverblack_B,1,1,liverbrown_B,1,3,NA,0,NA,-1.25550298630781,0.266629304541521,4.70879593849106,0,0
liverturquoise_B,1,6,liverbrown_B,1,3,NA,0,NA,-2.56689206485207,0.590490056523164,4.34705383519252,0,0
adiposeyellow_B,2,3,adiposeblack_B,2,2,NA,0,NA,-1.40345828674705,0.344335885075718,4.07584090876394,0,0
adiposeblack_B,2,2,liverbrown_B,1,3,NA,0,NA,-1.21478360240234,0.298983246855884,4.06304906772215,0,0
liveryellow_B,1,7,ET3,0,5,liverbrown_B,1,3,-0.180514474169057,0.0454285047563286,3.97359488579491,0.000149850149850139,0.00432692307692276
adiposeyellow_B,2,3,adiposebrown_B,2,4,NA,0,NA,-2.08335131517302,0.527444606575935,3.94989594963862,7.76216719707845e-05,0.0027585548038848
adiposebrown_B,2,4,liverblack_B,1,1,NA,0,NA,-0.55216689638095,0.146350833532863,3.77289888312772,0.000232865015912465,0.00672397733447241
adiposeyellow_B,2,3,isletblack_B,3,4,NA,0,NA,-1.71435376541664,0.459463512138171,3.73120763700839,0.000232865015912465,0.00672397733447241
liverblack_B,1,1,ET1,0,6,adiposebrown_B,2,4,-0.150114388380994,0.0416434200207794,3.6047564850843,0.000249750249750269,0.00618131868131916
adiposeturquoise_B,2,7,adiposebrown_B,2,4,NA,0,NA,-1.94033325510201,0.542510628759062,3.57658108844858,0.000388108359854034,0.00943716117118755
