Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
MEgrey_B,42,1,MEdarkorange_B,24,1,NA,0,NA,-1.33108789428826,0.0999291863002436,13.320311548309,0,0
MEgrey_B,42,1,MEskyblue_B,7,1,NA,0,NA,-1.0890100478753,0.081838965641741,13.3067425686019,0,0
MEgrey_B,42,1,MEsienna3_B,13,1,NA,0,NA,-1.25623342271473,0.103491128040651,12.1385615027917,0,0
MEgrey_B,42,1,MEcyan_B,18,1,NA,0,NA,-1.07263339906145,0.0895841117223893,11.9734780915774,0,0
MEyellow_B,9,1,ET1,0,1,MEdarkgreen_B,30,1,0.2680133193561,0.0244389072428125,10.966665436112,0,0
MEgrey_B,42,1,MEviolet_B,8,1,NA,0,NA,-1.58017831685618,0.147551650899136,10.7093231910795,0,0
MEgreenyellow_B,34,1,MElightcyan_B,15,1,NA,0,NA,-1.51089439186384,0.156949892723376,9.62660353343974,0,0
MEdarkred_B,33,1,MEskyblue_B,7,1,NA,0,NA,-1.49067201551581,0.155138522233821,9.60865163630414,0,0
MEturquoise_B,41,1,ET1,0,2,MEsalmon_B,39,1,-0.224992267708851,0.0234376147658003,9.59962308268481,0,0
MElightcyan_B,15,1,MEpink_B,37,1,NA,0,NA,-0.846465610856449,0.088801276552329,9.5321333624933,0,0
MEgrey_B,42,1,ET1,0,3,MEviolet_B,8,1,-0.280780669298659,0.0294998149494536,9.5180484955503,0,0
MEyellowgreen_B,35,1,MElightcyan_B,15,1,NA,0,NA,-1.47432672602974,0.161428320779522,9.13301159864859,0,0
MEgreenyellow_B,34,1,ET1,0,4,MEpaleturquoise_B,32,1,-0.182123910493543,0.0200501742731383,9.08340785533913,0,0
MEwhite_B,38,1,MEpaleturquoise_B,32,1,NA,0,NA,-1.07177172959803,0.118097828267011,9.07528737255717,0,0
MEbrown_B,10,1,ET1,0,5,MEmediumpurple3_B,12,1,0.197048660992641,0.0224621583339548,8.77247226482121,0,0
MEturquoise_B,41,1,MEdarkturquoise_B,4,1,NA,0,NA,-0.97867674348737,0.11520349797394,8.49519989148901,0,0
MEpurple_B,1,1,MElightcyan_B,15,1,NA,0,NA,-1.365877665762,0.161204805975696,8.47293390228035,0,0
MEdarkred_B,33,1,MEpink_B,37,1,NA,0,NA,-1.16382727124891,0.137533129711783,8.46215943524188,0,0
MEdarkred_B,33,1,ET1,0,6,MEmediumpurple3_B,12,1,-0.179423887835698,0.021276220035939,8.43307164207842,0,0
MEwhite_B,38,1,MEcyan_B,18,1,NA,0,NA,-1.20841881384155,0.143343418169698,8.43023578809147,0,0
MEgrey_B,42,1,MEtan_B,11,1,NA,0,NA,-0.913255699338583,0.109349504059009,8.35171322629645,0,0
sexM,0,1,ET1,0,7,MEmediumpurple3_B,12,1,0.0584514965279674,0.00716345663967021,8.1596775785968,0,0
MEdarkred_B,33,1,MEcyan_B,18,1,NA,0,NA,-1.38325117645402,0.180296645397401,7.67208493205809,0,0
MEgrey_B,42,1,MEmagenta_B,25,1,NA,0,NA,-1.20405519187172,0.15736033713027,7.65157989509738,0,0
MEgrey_B,42,1,MEdarkturquoise_B,4,1,NA,0,NA,-1.22484656919367,0.161101211750865,7.60296310550311,0,0
MEgreenyellow_B,34,1,MEpink_B,37,1,NA,0,NA,-1.21543289841818,0.160140477391333,7.58979190156929,0,0
MEgrey_B,42,1,MElightsteelblue1_B,36,1,NA,0,NA,-1.04377422663472,0.137908555602663,7.56859661152571,0,0
MEpurple_B,1,1,ET1,0,8,MEsalmon_B,39,1,-0.195182798866516,0.0260114993380666,7.50371196714813,0,0
MEturquoise_B,41,1,MElightcyan_B,15,1,NA,0,NA,-1.58994760428343,0.212719900108748,7.47437171355669,0,0
MEwhite_B,38,1,MEdarkorange_B,24,1,NA,0,NA,-1.56736706046181,0.211632443420549,7.40608119969201,0,0
MEwhite_B,38,1,ET1,0,9,MEgreen_B,40,1,-0.192847436117038,0.0261875833586836,7.36407913153587,0,0
MEdarkred_B,33,1,MEred_B,31,1,NA,0,NA,-1.066344746463,0.145295935510458,7.33912302995047,0,0
MEyellowgreen_B,35,1,MEmidnightblue_B,26,1,NA,0,NA,-1.57287198983993,0.214716427659751,7.32534537288582,0,0
MEsaddlebrown_B,2,1,MEdarkorange_B,24,1,NA,0,NA,-1.30533197926074,0.17844774869401,7.31492545472812,0,0
MEgreenyellow_B,34,1,MEpurple_B,1,1,NA,0,NA,-1.34613386571865,0.185260136988052,7.26618196231533,0,0
MEgrey_B,42,1,MEred_B,31,1,NA,0,NA,-1.05018252398193,0.144567472043293,7.26430717186115,0,0
MElightyellow_B,19,1,ET1,0,10,MEpaleturquoise_B,32,1,0.139829326442568,0.0195349257703928,7.15791439834872,0,0
MEyellowgreen_B,35,1,ET1,0,11,MEred_B,31,1,-0.196324902616837,0.0275270911095947,7.13206135131391,0,0
MEdarkred_B,33,1,MEpaleturquoise_B,32,1,NA,0,NA,-1.06902590991455,0.151524345500832,7.05514289720974,0,0
MEyellowgreen_B,35,1,MEpink_B,37,1,NA,0,NA,-1.297551590185,0.184354982966761,7.03833207708276,0,0
MEyellowgreen_B,35,1,MEpurple_B,1,1,NA,0,NA,-1.30680250819456,0.186278936283632,7.01529939061278,0,0
MEpink_B,37,1,MElightcyan_B,15,1,NA,0,NA,-1.17405140402968,0.168256944934226,6.97772923720107,0,0
MEwhite_B,38,1,MElightcyan_B,15,1,NA,0,NA,-1.20423712061475,0.173092394574832,6.95719256511949,0,0
MEdarkred_B,33,1,MEdarkorange_B,24,1,NA,0,NA,-1.77872532922162,0.260410971184034,6.83045465071663,0,0
MEdarkgreen_B,30,1,ET1,0,12,MEyellow_B,9,1,0.173708806985475,0.0255585986196718,6.79649184097972,0,0
MEgrey60_B,5,1,ET1,0,13,MEyellow_B,9,1,-0.160860236841402,0.0239674154130962,6.71162217823058,0,0
MEpurple_B,1,1,MEmagenta_B,25,1,NA,0,NA,-1.29428202404017,0.194063697700731,6.66936701389718,0,0
MEturquoise_B,41,1,MEpaleturquoise_B,32,1,NA,0,NA,-1.07622605154399,0.162274287552991,6.63214159046945,0,0
MEpink_B,37,1,MEpaleturquoise_B,32,1,NA,0,NA,-0.826811747201703,0.126653091663021,6.52816079217044,0,0
MEblack_B,3,1,ET1,0,14,MEpurple_B,1,1,0.202072726684652,0.0311334600220705,6.49053226147697,0,0
MEgreenyellow_B,34,1,MEmidnightblue_B,26,1,NA,0,NA,-1.33956683144069,0.208803993008806,6.41542727290754,0,0
MEsaddlebrown_B,2,1,ET1,0,15,MEsalmon_B,39,1,-0.153584735574593,0.0240728767223369,6.37999094774094,0,0
MEsaddlebrown_B,2,1,MEcyan_B,18,1,NA,0,NA,-1.04168387892504,0.163355320924575,6.37679797039492,0,0
MEpurple_B,1,1,MEpink_B,37,1,NA,0,NA,-0.868488242941647,0.136232313115813,6.37505319463623,0,0
MEdarkgreen_B,30,1,MEyellow_B,9,1,NA,0,NA,-0.549143876026944,0.0864004533181925,6.35579855124807,0,0
MEred_B,31,1,ET2,0,16,MEgrey_B,42,1,-0.420438156013066,0.0665131951178362,6.32112403062593,0,0
MEsaddlebrown_B,2,1,MEgreen_B,40,1,NA,0,NA,-1.45083111753506,0.229762954232993,6.31446928587031,0,0
MEpurple_B,1,1,MEgreen_B,40,1,NA,0,NA,-0.908768001681512,0.145141957367557,6.26123567687702,0,0
MEgrey_B,42,1,MEdarkgreen_B,30,1,NA,0,NA,-0.930594727033386,0.14875822248009,6.25575320488881,0,0
