Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
isletMEsalmon_B,1,27,isletMEsteelblue_B,1,30,NA,0,NA,0.979983063927196,0.140660720192461,6.96699876544298,0,0
isletMEorange_B,1,20,isletMEyellow_B,1,35,NA,0,NA,1.10643482675506,0.17364542379837,6.37180527164256,0,0
isletMEsaddlebrown_B,1,26,isletMEmagenta_B,1,18,NA,0,NA,0.909307917341734,0.144424904269729,6.29606037781063,0,0
isletMElightyellow_B,1,17,isletMEpurple_B,1,23,NA,0,NA,1.00641622913827,0.177931081135033,5.65621375826124,0,0
liverMEgreenyellow_B,3,5,liverMEtan_B,3,11,NA,0,NA,1.07669982231696,0.192355829092787,5.59743797417021,0,0
isletMEmagenta_B,1,18,isletMEsaddlebrown_B,1,26,NA,0,NA,0.994696783372003,0.179076847012614,5.55458061701264,0,0
isletMEblue_B,1,2,isletMEsteelblue_B,1,30,NA,0,NA,-0.987205322934858,0.181700732107248,5.43313893943017,0,0
isletMEpurple_B,1,23,isletMElightyellow_B,1,17,NA,0,NA,0.870517210557313,0.166635418817741,5.22408271142793,0,0
isletMEorange_B,1,20,isletMEturquoise_B,1,32,NA,0,NA,1.09698401043668,0.213512454564566,5.13779869504031,0,0
isletMElightyellow_B,1,17,isletMEsaddlebrown_B,1,26,NA,0,NA,-1.27738975633677,0.261737693814458,4.88041954416506,0,0
isletMEviolet_B,1,33,isletMEpaleturquoise_B,1,21,NA,0,NA,-1.21513654948663,0.256574758656425,4.73599412447972,0,0
isletMEsaddlebrown_B,1,26,isletMElightyellow_B,1,17,NA,0,NA,-0.774427935129836,0.16559618660731,4.67660488442462,0,0
isletMEmagenta_B,1,18,adiposeMEyellow_B,2,11,NA,0,NA,-0.665665390048489,0.145011139883176,4.59044312447142,0,0
adiposeMEyellow_B,2,11,isletMEmagenta_B,1,18,NA,0,NA,-1.47734037780668,0.331377984151176,4.45817298813886,0,0
isletMEorange_B,1,20,isletMEdarkgreen_B,1,5,NA,0,NA,-1.00741357114402,0.226276036206876,4.45214432792599,0,0
isletMEsteelblue_B,1,30,isletMEblue_B,1,2,NA,0,NA,-1.01531919379894,0.228147774614932,4.45026998625166,0,0
isletMEwhite_B,1,34,isletMEsalmon_B,1,27,NA,0,NA,-0.962848506163692,0.217710125410054,4.42261702045406,0,0
isletMElightyellow_B,1,17,adiposeMEblack_B,2,1,NA,0,NA,-0.597844881276724,0.137780365321527,4.33911522793238,0,0
liverMEred_B,3,9,liverMEpink_B,3,7,NA,0,NA,1.15955891629524,0.27095277107759,4.2795610160532,0,0
isletMEviolet_B,1,33,isletMEblack_B,1,1,NA,0,NA,1.13066970120494,0.265397392032976,4.2602894193642,0,0
isletMEsteelblue_B,1,30,isletMEdarkolivegreen_B,1,8,NA,0,NA,0.776218942790927,0.184064907187723,4.2170936038301,0,0
isletMEgreenyellow_B,1,13,isletMEmidnightblue_B,1,19,NA,0,NA,1.28983221023921,0.306771477656988,4.204537592903,0,0
isletMEsteelblue_B,1,30,isletMEsalmon_B,1,27,NA,0,NA,0.741603140659663,0.181086561823451,4.09529637755607,0,0
isletMEpaleturquoise_B,1,21,isletMEviolet_B,1,33,NA,0,NA,-0.796088535935853,0.194684316676416,4.08912515156025,0,0
isletMEdarkgreen_B,1,5,isletMEorange_B,1,20,NA,0,NA,-0.992242662524932,0.244141173121103,4.06421682111253,0,0
isletMEgreen_B,1,12,isletMEroyalblue_B,1,25,NA,0,NA,-0.917077129950722,0.228056426758805,4.02127290594022,0,0
isletMEviolet_B,1,33,isletMEsteelblue_B,1,30,NA,0,NA,-0.789077042148703,0.197549435270232,3.99432699500916,0,0
isletMEgreenyellow_B,1,13,isletMElightcyan_B,1,15,NA,0,NA,1.36560711526057,0.347387299724405,3.93107956549924,0,0
isletMEmidnightblue_B,1,19,isletMEgreenyellow_B,1,13,NA,0,NA,0.671744251920374,0.172111327037411,3.90296364267972,0,0
isletMEyellow_B,1,35,isletMEorange_B,1,20,NA,0,NA,1.00172576861805,0.258633113328802,3.87315357931198,0,0
adiposeMEblack_B,2,1,isletMElightyellow_B,1,17,NA,0,NA,-1.72102414301853,0.444533996236492,3.87152424244049,0,0
isletMEsaddlebrown_B,1,26,liverMEyellow_B,3,13,NA,0,NA,0.767619637535982,0.201231803273594,3.81460397933387,0,0
isletMEorange_B,1,20,isletMElightyellow_B,1,17,NA,0,NA,-0.883739331863521,0.232178433488544,3.80629379992404,0,0
liverMEblue_B,3,2,isletMEmagenta_B,1,18,NA,0,NA,1.1679934034119,0.310764822744909,3.7584479256542,0,0
liverMEyellow_B,3,13,isletMEsaddlebrown_B,1,26,NA,0,NA,1.18416854242651,0.315802304973876,3.7497146910453,0,0
isletMEcyan_B,1,4,isletMEroyalblue_B,1,25,NA,0,NA,-1.07495650759698,0.291562808484569,3.68687801158244,0,0
isletMEorange_B,1,20,isletMEmidnightblue_B,1,19,NA,0,NA,0.776746408944051,0.212069436699925,3.66269850588199,0,0
isletMEsteelblue_B,1,30,isletMElightgreen_B,1,16,NA,0,NA,0.815884213737719,0.223647680522488,3.64807813714697,0,0
isletMElightyellow_B,1,17,adiposeMEpink_B,2,7,NA,0,NA,-0.692356799674941,0.19014270100459,3.64124836776263,0,0
liverMEbrown_B,3,3,isletMEorange_B,1,20,NA,0,NA,1.2555960510106,0.346624124893207,3.62235620904183,0,0
isletMEtan_B,1,31,isletMElightcyan_B,1,15,NA,0,NA,0.715847730138348,0.198306124707064,3.60981150327955,0,0
liverMEyellow_B,3,13,isletMElightyellow_B,1,17,NA,0,NA,0.952310809068491,0.264065814799956,3.60633885832559,0,0
liverMEtan_B,3,11,liverMEgreenyellow_B,3,5,NA,0,NA,0.818885390926994,0.2273871124094,3.60128321367936,0,0
isletMElightyellow_B,1,17,isletMEorange_B,1,20,NA,0,NA,-1.13522965138354,0.315891089859414,3.59373748683057,0,0
isletMEblack_B,1,1,isletMEdarkgrey_B,1,6,NA,0,NA,-0.655289266418061,0.1836318839474,3.56849394741146,0,0
isletMEbrown_B,1,3,isletMEpurple_B,1,23,NA,0,NA,0.849256238009661,0.238653034271972,3.55853945289394,0,0
isletMEsalmon_B,1,27,isletMEwhite_B,1,34,NA,0,NA,-1.04455678984614,0.294906415018974,3.54199412643816,0,0
isletMEdarkgreen_B,1,5,isletMEred_B,1,24,NA,0,NA,0.763663386652453,0.216185198523794,3.53244991732587,0,0
isletMEdarkgrey_B,1,6,isletMEblack_B,1,1,NA,0,NA,-1.57671691668913,0.448689393233077,3.51404989836719,0,0
isletMEmidnightblue_B,1,19,isletMEorange_B,1,20,NA,0,NA,1.15087423092393,0.328372329840376,3.50478443626288,0,0
isletMEgreenyellow_B,1,13,isletMEsaddlebrown_B,1,26,NA,0,NA,-2.19435074099173,0.630984964580352,3.47765931705064,0,0
adiposeMEpink_B,2,7,isletMElightyellow_B,1,17,NA,0,NA,-1.47713739718038,0.425874629963569,3.46847943796685,0,0
isletMEblack_B,1,1,isletMEviolet_B,1,33,NA,0,NA,1.00502582056312,0.29103505986303,3.45328092442236,0,0
isletMEtan_B,1,31,isletMEpaleturquoise_B,1,21,NA,0,NA,1.06180022484656,0.310223093377889,3.42269884967319,0,0
isletMEpaleturquoise_B,1,21,isletMElightgreen_B,1,16,NA,0,NA,0.766177029186126,0.224216640985712,3.41712829974538,0,0
