Source,Chr,Position,Target,Chr,Position,Conditioning.Marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
Adam1a_B,5,121.520136,Rad9a_B,19,4.1984,NA,NA,NA,-1.05931244476867,0.100556716662158,10.5344772575228,0,0
Irx2_B,13,72.631508,Rad9a_B,19,4.1984,NA,NA,NA,-1.04171733588682,0.100087709417284,10.4080445236658,0,0
Irx2_B,13,72.631508,Gart_B,16,91.634069,NA,NA,NA,-1.11011817985781,0.109258479692861,10.1604761751993,0,0
Igsf21_B,4,140.136815,Gart_B,16,91.634069,NA,NA,NA,-1.09625852763284,0.111056785988977,9.8711530130329,0,0
Mafb_B,2,160.365371,Gart_B,16,91.634069,NA,NA,NA,-0.960104372727987,0.0975239173911606,9.84480933920123,0,0
Arx_B,20,93.292432,Rad9a_B,19,4.1984,NA,NA,NA,-1.05995115996509,0.108023139315513,9.8122602868372,0,0
Mafb_B,2,160.365371,Rad9a_B,19,4.1984,NA,NA,NA,-0.964516208039431,0.0988916892431269,9.75325849342255,0,0
Igsf21_B,4,140.136815,Rad9a_B,19,4.1984,NA,NA,NA,-1.03235288113187,0.107191531227138,9.63091831335372,0,0
Gcg_B,2,62.47909,Rad9a_B,19,4.1984,NA,NA,NA,-1.08130350986586,0.112340714529805,9.62521481540854,0,0
Fam46d_B,20,107.83275,Rad9a_B,19,4.1984,NA,NA,NA,-1.05019555022798,0.110146966008824,9.534493670428,0,0
Sgce_B,6,4.710777,Rad9a_B,19,4.1984,NA,NA,NA,-1.13788026767206,0.119358091040486,9.5333316556319,0,0
Irx2_B,13,72.631508,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.12764961378583,0.121289842975683,9.29714794017755,0,0
Fgf14_B,14,124.327517,Rad9a_B,19,4.1984,NA,NA,NA,-1.01187401269536,0.109746575322918,9.2200964788015,0,0
Pwp2_B,10,78.17803,Rad9a_B,19,4.1984,NA,NA,NA,-1.11377453385261,0.121451198085982,9.17055205222519,0,0
Peg10_B,6,4.753912,Rad9a_B,19,4.1984,NA,NA,NA,-1.12186188306891,0.123192238807522,9.10659546354807,0,0
Mctp2_B,7,72.192214,Rad9a_B,19,4.1984,NA,NA,NA,-1.00865350624155,0.111177357690082,9.07247237385577,0,0
Sgce_B,6,4.710777,Gart_B,16,91.634069,NA,NA,NA,-1.16511365770676,0.13140943930142,8.86628589164196,0,0
Sgce_B,6,4.710777,Polr1b_B,2,129.113794,NA,NA,NA,-1.17035374612731,0.132204159229332,8.85262425138319,0,0
Mafb_B,2,160.365371,Ruvbl1_B,6,88.48149,NA,NA,NA,-0.981720539555264,0.112321659069915,8.7402603174174,0,0
Adam1a_B,5,121.520136,Med19_B,2,84.683308,NA,NA,NA,-1.06629076581768,0.123247655224607,8.65161096878044,0,0
Peg10_B,6,4.753912,Gart_B,16,91.634069,NA,NA,NA,-1.14130312707607,0.132695961927787,8.60088815435971,0,0
Irx2_B,13,72.631508,Exosc8_B,3,54.732036,NA,NA,NA,-1.13090484769827,0.131783055485486,8.5815649328515,0,0
Wdr4_B,17,31.507148,Rad9a_B,19,4.1984,NA,NA,NA,-0.920000742853446,0.107443923449647,8.56261306656955,0,0
Fgf14_B,14,124.327517,Med19_B,2,84.683308,NA,NA,NA,-1.02709328378923,0.121175207800401,8.47610086611983,0,0
Arx_B,20,93.292432,Exosc8_B,3,54.732036,NA,NA,NA,-1.11356394863565,0.131390206300212,8.47524317064607,0,0
Fam46d_B,20,107.83275,Pygb_B,2,150.809246,NA,NA,NA,-1.14821665749549,0.135861348038715,8.45138572574957,0,0
Igsf21_B,4,140.136815,Smad9_B,3,54.77842,NA,NA,NA,-1.04860880237794,0.124400327940443,8.42930898767377,0,0
Irx2_B,13,72.631508,Smad9_B,3,54.77842,NA,NA,NA,-1.09028078145777,0.129703845439825,8.40592488033515,0,0
Klhl13_B,20,23.292176,Rad9a_B,19,4.1984,NA,NA,NA,-1.04422921639086,0.12425671653873,8.40380500530433,0,0
Arx_B,20,93.292432,Gart_B,16,91.634069,NA,NA,NA,-1.10587324099767,0.131839361725328,8.38803545864875,0,0
Arx_B,20,93.292432,Smad9_B,3,54.77842,NA,NA,NA,-1.08602454149719,0.129688046578306,8.37412984581771,0,0
Scin_B,12,40.096998,Gart_B,16,91.634069,NA,NA,NA,-1.1403009043621,0.13617677956798,8.37368094604453,0,0
Irx2_B,13,72.631508,Nup205_B,6,35.21251,NA,NA,NA,-1.10243776400943,0.132802228185575,8.30134990257021,0,0
Galnt13_B,2,54.777313,Rad9a_B,19,4.1984,NA,NA,NA,-0.967371649008408,0.116682253725616,8.2906493328731,0,0
Dnajc11_B,4,151.957914,Rad9a_B,19,4.1984,NA,NA,NA,-1.09864121624309,0.132846225503353,8.27002206559012,0,0
Irx2_B,13,72.631508,St8sia2_B,7,73.9764,NA,NA,NA,-1.09895937442217,0.133073354554634,8.25829767424241,0,0
Adam1a_B,5,121.520136,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.924456648881211,0.111976351959602,8.25582038263516,0,0
Igsf21_B,4,140.136815,Mrpl19_B,6,81.961904,NA,NA,NA,-1.05715511609415,0.128621963055933,8.21908709039398,0,0
Adam1a_B,5,121.520136,Mlst8_B,17,24.476314,NA,NA,NA,-0.936753013032574,0.114163557209135,8.20535936276535,0,0
Fgf14_B,14,124.327517,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.01232771781868,0.12342595485204,8.20190306838001,0,0
Sgce_B,6,4.710777,Smad9_B,3,54.77842,NA,NA,NA,-1.13058774687743,0.13789822242712,8.1987115350595,0,0
Igsf21_B,4,140.136815,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.07300288453596,0.131314283185027,8.17125798131234,0,0
Irx2_B,13,72.631508,Miat_B,5,112.221312,NA,NA,NA,-1.15737704867796,0.141984933825168,8.15140745921033,0,0
Scin_B,12,40.096998,Rad9a_B,19,4.1984,NA,NA,NA,-1.15153172073283,0.141331236004743,8.14775100880166,0,0
Mafb_B,2,160.365371,Smad9_B,3,54.77842,NA,NA,NA,-0.924463226422202,0.113541814303641,8.14205085669973,0,0
Dgcr8_B,16,18.271598,Pygb_B,2,150.809246,NA,NA,NA,-1.12456804167918,0.138402603980849,8.12533875327077,0,0
Irx2_B,13,72.631508,Med19_B,2,84.683308,NA,NA,NA,-1.05740203496546,0.130362665920667,8.11123359205425,0,0
Sgce_B,6,4.710777,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.19179798165399,0.146983047953687,8.10840432448723,0,0
Gcg_B,2,62.47909,Polr1b_B,2,129.113794,NA,NA,NA,-1.06492432500987,0.131907277632757,8.07327953484663,0,0
Adam1a_B,5,121.520136,Pygb_B,2,150.809246,NA,NA,NA,-1.07452943090339,0.133213116907697,8.066243443939,0,0
Mafb_B,2,160.365371,Med19_B,2,84.683308,NA,NA,NA,-0.950356441411518,0.118086406506206,8.04797494927219,0,0
Peg10_B,6,4.753912,Mrpl19_B,6,81.961904,NA,NA,NA,-1.05799630771902,0.131593864409257,8.03986046362048,0,0
Gcg_B,2,62.47909,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.11000651670526,0.13825305638038,8.02880273150175,0,0
Sgce_B,6,4.710777,Pygb_B,2,150.809246,NA,NA,NA,-1.23710045140226,0.155765987609482,7.94204479673555,0,0
Irx2_B,13,72.631508,Polr1b_B,2,129.113794,NA,NA,NA,-1.11738430156906,0.14127709392799,7.90916822042361,0,0
