Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
Adam1a_B,5,121.520136,Rad9a_B,19,4.1984,NA,NA,NA,-1.0654436192078,0.104532700192371,10.1924432952279,0,0
Irx2_B,13,72.631508,Rad9a_B,19,4.1984,NA,NA,NA,-1.04691580659374,0.105521484390751,9.92135215532945,0,0
Ube2l3_B,16,17.177331,Rad9a_B,19,4.1984,NA,NA,NA,-1.04119123070273,0.109518289295752,9.50700780114464,0,0
Irx2_B,13,72.631508,Gart_B,16,91.634069,NA,NA,NA,-1.10260008684587,0.116064010566758,9.49993095587261,0,0
Arx_B,20,93.292432,Rad9a_B,19,4.1984,NA,NA,NA,-1.06670245705411,0.11305464477195,9.4352820196448,0,0
Mafb_B,2,160.365371,Rad9a_B,19,4.1984,NA,NA,NA,-0.964549599318288,0.104887048139154,9.19607917689338,0,0
Sgce_B,6,4.710777,Rad9a_B,19,4.1984,NA,NA,NA,-1.13718259867027,0.124758793324506,9.11504967599664,0,0
Mafb_B,2,160.365371,Gart_B,16,91.634069,NA,NA,NA,-0.943999783402988,0.104805497134975,9.00715906330034,0,0
Irx2_B,13,72.631508,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.13198683576606,0.126426697584879,8.95370089854699,0,0
Dennd2a_B,6,39.510122,Rad9a_B,19,4.1984,NA,NA,NA,-1.03957748070246,0.116590257636871,8.91650384666188,0,0
Igsf21_B,4,140.136815,Rad9a_B,19,4.1984,NA,NA,NA,-1.02015210537256,0.114854296687618,8.88214141563359,0,0
Gcg_B,2,62.47909,Rad9a_B,19,4.1984,NA,NA,NA,-1.07179878057206,0.120840659255972,8.86952112948764,0,0
Fgf14_B,14,124.327517,Rad9a_B,19,4.1984,NA,NA,NA,-1.0123157882331,0.114243513778178,8.86103512361037,0,0
Igsf21_B,4,140.136815,Gart_B,16,91.634069,NA,NA,NA,-1.06562418809753,0.120557341931614,8.83914800230088,0,0
Sgce_B,6,4.710777,Polr1b_B,2,129.113794,NA,NA,NA,-1.17367532715757,0.133758918124388,8.77455756681674,0,0
Pwp2_B,10,78.17803,Rad9a_B,19,4.1984,NA,NA,NA,-1.12064976326811,0.128680761969326,8.70875915030129,0,0
Irx2_B,13,72.631508,Ube2l3_B,16,17.177331,NA,NA,NA,-1.12127011967864,0.128783753336971,8.70661159210638,0,0
Fam46d_B,20,107.83275,Rad9a_B,19,4.1984,NA,NA,NA,-1.0372110894079,0.119857421803712,8.65370766197957,0,0
Irx2_B,13,72.631508,Smad9_B,3,54.77842,NA,NA,NA,-1.10477247433245,0.129121434556483,8.55607342132787,0,0
Mctp2_B,7,72.192214,Rad9a_B,19,4.1984,NA,NA,NA,-1.00509283772962,0.118334887330748,8.49363074914981,0,0
Sgce_B,6,4.710777,Smad9_B,3,54.77842,NA,NA,NA,-1.13950268307815,0.134285441257037,8.4856755312515,0,0
Arx_B,20,93.292432,Smad9_B,3,54.77842,NA,NA,NA,-1.10208016119269,0.130106479105301,8.47060168541435,0,0
Sgce_B,6,4.710777,Gart_B,16,91.634069,NA,NA,NA,-1.14256208891701,0.135655118392985,8.42255052704369,0,0
Mafb_B,2,160.365371,Smad9_B,3,54.77842,NA,NA,NA,-0.938412405089812,0.111993242201092,8.37918776746212,0,0
Dnajc11_B,4,151.957914,Rad9a_B,19,4.1984,NA,NA,NA,-1.11001264662681,0.133054982495275,8.34251093653128,0,0
Mafb_B,2,160.365371,Ruvbl1_B,6,88.48149,NA,NA,NA,-0.979989396580293,0.119505641445795,8.20036095973589,0,0
Irx2_B,13,72.631508,St8sia2_B,7,73.9764,NA,NA,NA,-1.07501804102159,0.131283959047949,8.18849499068626,0,0
Wdr4_B,17,31.507148,Rad9a_B,19,4.1984,NA,NA,NA,-0.927946183756744,0.114150964168611,8.12911384949921,0,0
Igsf21_B,4,140.136815,Smad9_B,3,54.77842,NA,NA,NA,-1.05449515216676,0.130087066083027,8.10607221700071,0,0
Galnt13_B,2,54.777313,Rad9a_B,19,4.1984,NA,NA,NA,-0.975875686166801,0.121067324158482,8.06060341177889,0,0
Nudt11_B,20,6.051282,Efnb3_B,11,69.557148,NA,NA,NA,-1.0430812041774,0.129813996283007,8.03519831485183,0,0
Arx_B,20,93.292432,Gart_B,16,91.634069,NA,NA,NA,-1.09893373959943,0.137919850501927,7.96791568146368,0,0
Fgf14_B,14,124.327517,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.0109189815717,0.126989444704499,7.96065361120431,0,0
Irx2_B,13,72.631508,Polr1b_B,2,129.113794,NA,NA,NA,-1.13258898173742,0.142866618378021,7.92759704538272,0,0
Irx2_B,13,72.631508,Exosc8_B,3,54.732036,NA,NA,NA,-1.11449575581626,0.141466103738474,7.87818230914601,0,0
Irx2_B,13,72.631508,Miat_B,5,112.221312,NA,NA,NA,-1.14537728188345,0.14539893825446,7.87748036975997,0,0
Sgce_B,6,4.710777,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.18955656933172,0.151421816911232,7.85591266567006,0,0
Igsf21_B,4,140.136815,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.0705234917513,0.136957391834858,7.8164710747568,0,0
Arx_B,20,93.292432,Ube2l3_B,16,17.177331,NA,NA,NA,-1.13413877269469,0.145366651673606,7.80191852558584,0,0
Scin_B,12,40.096998,Rad9a_B,19,4.1984,NA,NA,NA,-1.15571772110535,0.148476217694203,7.78385750292771,0,0
Gcg_B,2,62.47909,Polr1b_B,2,129.113794,NA,NA,NA,-1.06153361766139,0.136538163890768,7.77462935938283,0,0
Ube2l3_B,16,17.177331,Pygb_B,2,150.809246,NA,NA,NA,-0.95247900018189,0.123336007317574,7.72263527008282,0,0
Scin_B,12,40.096998,Gart_B,16,91.634069,NA,NA,NA,-1.12136308887372,0.145497296798643,7.70710599816572,0,0
Gcg_B,2,62.47909,Ruvbl1_B,6,88.48149,NA,NA,NA,-1.08747544446633,0.141663084123206,7.67649138233176,0,0
Irx2_B,13,72.631508,Cacng4_B,11,107.763457,NA,NA,NA,-1.28651866180034,0.168430410144302,7.63828016982278,0,0
Dgcr8_B,16,18.271598,Rad9a_B,19,4.1984,NA,NA,NA,-1.12632638963061,0.147653007567297,7.62819808541492,0,0
Arx_B,20,93.292432,Exosc8_B,3,54.732036,NA,NA,NA,-1.10570328805125,0.145001721681834,7.62544937554196,0,0
Adam1a_B,5,121.520136,2610035D17Rik_B,11,113.122866,NA,NA,NA,-0.920623572241051,0.120868191347655,7.61675641851087,0,0
Gart_B,16,91.634069,Rad9a_B,19,4.1984,NA,NA,NA,-1.01834815590692,0.133826087381426,7.60948912004326,0,0
Dgcr8_B,16,18.271598,Pygb_B,2,150.809246,NA,NA,NA,-1.11688245335795,0.146888533966528,7.60360542241138,0,0
Arx_B,20,93.292432,St8sia2_B,7,73.9764,NA,NA,NA,-1.09803294406921,0.145353946354043,7.55420111810861,0,0
Igsf21_B,4,140.136815,Mrpl19_B,6,81.961904,NA,NA,NA,-1.05172957723244,0.139326663136725,7.54865977232477,0,0
Irx2_B,13,72.631508,Kcnd3_B,3,105.563166,NA,NA,NA,-1.24276105669348,0.164742832531284,7.54364264349701,0,0
Irx2_B,13,72.631508,Dgcr8_B,16,18.271598,NA,NA,NA,-1.03950027961503,0.138198714232473,7.52177967348104,0,0
Sgce_B,6,4.710777,Nudt11_B,20,6.051282,NA,NA,NA,-1.14481532729842,0.152496281317368,7.50716881361772,0,0
Gcg_B,2,62.47909,Smad9_B,3,54.77842,NA,NA,NA,-1.01544245175353,0.135289609582331,7.50569430193809,0,0
Mafb_B,2,160.365371,Ube2l3_B,16,17.177331,NA,NA,NA,-0.944927784759915,0.125935298094201,7.50327985131777,0,0
