Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
islet-darkred-organelle-intracellular-histone-methyltransferase-activity_B,3,13,islet-skyblue-Pancreatic-secretion-extracellular-space-Protein_B,3,40,NA,NA,NA,-1.18418080374608,0.0858591806309028,13.7921279360528,0,0
islet-darkred-organelle-intracellular-histone-methyltransferase-activity_B,3,13,adipose-tan-organic-acid-metabolic-small-molecule_B,2,12,NA,NA,NA,-1.3662683287276,0.124173798121652,11.0028713737908,0,0
adipose-magenta-nucleic-acid-metabolic-RNA-nucleobase-containing_B,2,7,liver-darkorange-organic-acid-metabolic-oxoacid-carboxylic_B,1,7,NA,NA,NA,-1.58338663308554,0.146443456732385,10.8122729988481,0,0
islet-pink-intracellular-organelle-lumen-membrane-enclosed-nuclear_B,3,32,liver-darkorange-organic-acid-metabolic-oxoacid-carboxylic_B,1,7,NA,NA,NA,-1.27450343592859,0.122549374688415,10.3999179038575,0,0
islet-bisque4-intracellular-cellular-nitrogen-compound-metabolic_B,3,1,islet-darkslateblue-neuron-projection-cell-body-somatodendritic_B,3,14,NA,NA,NA,-1.13659939672831,0.110977693495273,10.2416923701584,0,0
islet-pink-intracellular-organelle-lumen-membrane-enclosed-nuclear_B,3,32,islet-greenyellow-intracellular-organelle-nucleus-membrane-bounded-cellular_B,3,18,NA,NA,NA,-1.13124277341748,0.111640019012759,10.132950383036,0,0
adipose-pink-protein-binding-movement-cell-subcellular_B,2,8,islet-darkolivegreen-mitochondrion-nucleosome-DNA-packaging-complex_B,3,10,NA,NA,NA,-1.40693149368722,0.140438803725874,10.0181107810733,0,0
islet-darkred-organelle-intracellular-histone-methyltransferase-activity_B,3,13,islet-darkgreen-mitochondrial-protein-complex-intracellular-membrane-bounded_B,3,7,NA,NA,NA,-1.20345866101295,0.121001782232957,9.94579285366234,0,0
liver-saddlebrown-Complement-coagulation-cascades-extracellular-region_B,1,23,islet-yellow-intracellular-protein-binding-nucleoplasm-membrane-bounded_B,3,47,NA,NA,NA,-1.33403557860184,0.137047583793752,9.73410505806129,0,0
liver-darkturquoise-catalytic-activity-Metabolic-pathways-mitochondrion_B,1,9,islet-darkolivegreen-mitochondrion-nucleosome-DNA-packaging-complex_B,3,10,NA,NA,NA,-1.50281860212577,0.158518819842818,9.48037970264928,0,0
liver-darkred-cytosolic-ribosome-structural-constituent-ribosomal_B,1,8,islet-tan-intracellular-organelle-lumen-membrane-enclosed-membrane-bounded_B,3,43,NA,NA,NA,-1.64762282085407,0.174854139114137,9.42284139913082,0,0
adipose-blue-mitochondrion-intracellular-membrane-bounded-organelle-cytoplasm_B,2,2,liver-darkorange-organic-acid-metabolic-oxoacid-carboxylic_B,1,7,NA,NA,NA,-1.43228142831368,0.154691248514329,9.25896870100579,0,0
islet-bisque4-intracellular-cellular-nitrogen-compound-metabolic_B,3,1,liver-darkorange-organic-acid-metabolic-oxoacid-carboxylic_B,1,7,NA,NA,NA,-1.44138409064195,0.156940944694021,9.18424502574606,0,0
